company_name,registered_name,is_registered
clear diagnostics ltd,clearsky medical diagnostics ltd,True
clinicare uk,a.p clinicare ltd,True
clnq,,False
coker chest clinic,,False
collingwood health,collingwood healthcare solutions ltd,True
collinson,collinson hall ltd,True
complete covid tests,,False
concepto clinic,,False
concierge medical,concierge medical consultancy ltd,True
concierge medical practice,,False
confirm testing,,False
confirm testing limited,,False
consultant clinic,consultant clinic birmingham ltd,True
coop pharmacy,,False
corona test centre,,False
corona testing,,False
corona-testing,,False
coronafocus by oncologica uk,,False
coronafocus by oncologica uk ltd (t/a oncologica uk ltd),,False
corporate covid tests,,False
cosmebeaute,,False
courtfield private practice,,False
cov19 care,,False
cov19care ltd,,False
covguard,,False
covguard premium,,False
covid 19 private test ltd,covid private tests limited,True
covid clear clinic,,False
"covid fit to fly tes t/a nash travel, tourism and transport services ltd.",,False
covid mobile health services/remote trauma ld,,False
covid smart limited,,False
covid test,covid testing laboratories limited,True
covid test centre,,False
covid test hub,,False
covid test pick and drop,,False
covid test today,,False
covid testing laboraratories,,False
covid testing laboratories,,False
covid testing laboratories ltd,,False
covid travel clinics,,False
covid-19 travel clinic,,False
covid19 checking,,False
covid19 health clinics limited,active health clinics limited,True
covidfly,,False
covido,covid office conversions limited,True
covitests,,False
coyne medical,,False
coyne medical ltd,,False
cq doctor,,False
crown laboratories ltd,,False
cryo express,,False
ct24 solutions ltd,,False
ctm (nhs t&t),,False
d&a screening ltd,,False
dajani pharmacy,,False
dante labs,,False
daya pharmacy,,False
dears pharmacy & travel clinic,,False
dgc health ltd,,False
digital health group ltd t/a pharma diagnostics,,False
dna workplace,,False
dochq.co.uk,,False
doctap,,False
doctap ltd,,False
doctor driver assessment ltd,,False
doctorcall limited,,False
doctors clinic group,,False
doctors covid travel clinics,,False
dorset private gp,dorset private medical clinic llp,True
dr mo private clinic,blackwater private clinic ltd,True
dr mo private clinic norwich,,False
dr shilpa dave private gp teddington,,False
dr tim lebens,,False
dr wayne cottrell,,False
"dr wayne cottrell, private gp canary wharf",,False
dr. shilpa dave private gp teddington,,False
dr. wayne cotrell & co.,,False
duality health,applied duality ltd,True
east midlands laser and cosmetic clinic ltd,,False
easter pharmacy,,False
easy testing,cfstestnondesg testing,True
easy testing ltd,,False
edgbaston private medical practice,,False
edgcare private community family doctors,,False
effect doctors,,False
elements medical,four elements medical services ltd,True
elite safety clinic,,False
em analytical ltd,,False
empire medicines ltd t/a empire pharmacy,,False
enoura medical (af aesthetics),,False
epistem,,False
est-health wellness clinic,the aesthetic & wellness clinic ltd.,True
eurofins,eurofins agroscience services limited,True
eurofins forensic services,,False
eurofins forensic services ltd,,False
everwell chinese medical centre ltd,arborvitae chinese medical centre ltd.,True
everything genetic,,False
everything genetic limited,,False
everything genetic ltd,,False
everythinggeneticlimited,,False
evolve medical,evolve medical aesthetics limited,True
excalibur diagnostics ltd,excalibur ,True
expert covid testing uk,,False
expert doctors,expert doctors ltd,True
expert medicals,expert medicolegal limited,True
expert tms limited,,False
express testing,,False
expresstest by cignpost diagnostics,cignpost diagnostics limited,True
fakir chemist,,False
family medics,your family medics limited,True
first medical consultants,,False
fit to fly uk,fit to fly essex limited,True
fit2fly test ltd,,False
fit2fly24/7 ltd,,False
fitnessgenes,,False
flow living medi-care services,,False
flysurance,,False
forensic genomics innovation hub ltd,,False
fusion pharmacy,,False
fusion radiology,,False
fusion radiology ltd,,False
future health technologies,,False
future health technologies limited,,False
future healthcare ltd,future healthcare limited,True
g16 covid testing,alpha biolaboratories covid-19 testing limited,True
genesis support (t/a fit to fly uk),,False
ghosh medical group,,False
global covid19 testing,,False
global express travel health clinic,,False
global express travel health clinic ltd,,False
global health travel clinic,,False
global health travel clinic - longcross surrey,global health travel clinic ltd,True
good egg medical,,False
good egg medical limited,,False
goodbody clinic,,False
gpdq,,False
gpdq ltd,,False
guildhall pharmacy,,False
hale clinic harley street,,False
halo verify,,False
hampshire travel clinic,,False
"hampstead heath pharmacy, travel health & vaccination clinic",,False
harley medic international,harley street medicare international ltd,True
harley street dr,dr q london harley street ltd,True
harley street nurses,harley street nominees limited,True
harley street nurses ltd,,False
harleys pharmacy,,False
harleystreet,harleystreet - psychotherapist.co.uk limited,True
harper institute ltd,,False
harper medical ltd,harper medical technology limited,True
harveyrhys clinic,,False
hawkes health,hawkes healthcare limited,True
heald green pharmacy,,False
healthclic,healthclick ltd,True
healthium clinics,,False
healthwork,healthwork group limited,True
healthwork ltd,,False
healthyaa clinic,,False
heart lung centre,,False
heathrow medical services,,False
heathrow medical services llp,,False
helix services limited also t/a travel test assured,,False
herts,herts property management ltd,True
hhh diagnostics,,False
home2lab,,False
https://private-testing-providers.london.cloudapps.digital/refresh-cache?id=750482,,False
i-gen testing,,False
i-gen testing limited,,False
ihomecare,ihomecarelogistics limited,True
ingleton pharmacy,,False
insta care solutions limited,instant care solutions limited,True
iq  doctor,,False
iq doctor,,False
iqdoctor,,False
isac labs ltd,,False
jace medical,,False
jdoc medical limited,,False
jdoc medical limited ( t/a jdoc365),,False
jdoc medical limited (t/a jdoc365),,False
jdoc medical linited (t/a jdoc365),,False
john bell & croyden,,False
js biomedical ltd,jsm biomedical services ltd,True
just health,just health limited,True
katalyst laboratories,,False
kings medical centre,kings house medical centre limited,True
klarity,klarity limited,True
klinical enterprises ltd t/a national covid testing,,False
knightsbridge pharmacy,,False
kurix health,,False
kyl healthcare services limited t/as the honeybee private nurse clinic,,False
la perla clinic,,False
labmedexpert,labmedexpert administration limited,True
labmedexpert limited,,False
laser and light,laser and light kent ltd,True
leeds covid testing,,False
leeds covid testing ltd,ais covid testing ltd,True
leigh broadway pharmacy (elm road),,False
lifecrest ltd trading as (lifecrest medical laboratory),lifecrest trading ltd,True
linbury doctors,,False
live covid testing,,False
local pcr,,False
locaton medical services ltd,uk independent medical services ltd,True
london corona test centre,,False
london covid testing,,False
london elite health,,False
london medical concierge,belmont medical concierge london ltd,True
london medical laboratory,mobile medical laboratory london limited,True
london medical laboratory / private coronavirus tests,,False
london nutrition doctor,,False
london screening centre,london screening centre holdings limited,True
london screening street,,False
london vaccination clinic,,False
longridge travel health clinic,,False
lord's pharmacy,,False
lyca health,lyca health canary wharf limited,True
mare st clinic,,False
masta,masta build ltd,True
masters (uk) limited t/a nechells pharmacy and masters pharmacy,,False
masters pharmacy,,False
mayfair doctors,mayfair doctors limited,True
mayfair pharmacy,,False
mayfield clinic,the mayfield clinic limited,True
mdna life sciences,advent life sciences llp,True
mdna life sciences (uk) ltd,,False
mdx healthcare ltd t/a medix,,False
me360 healthcare limited t/a me360 testing services,,False
me360 healthcare ltd t/a me360 testing services,,False
me360 testing services,,False
med24 limited,med24 limited,True
medchecks,,False
medi-park clinic,,False
medi-swift,mediswift international health services uk limited,True
medic 1 direct,medic 1 direct scotland ltd,True
medic testing,4 medical testing limited,True
medical,medical synergies ltd,True
medical and rescue,medical and rescue services ltd,True
medical and rescue - london and lhr,medical and rescue ltd,True
medical covid test,,False
medical diagnosis,medical diagnosis and prediction company limited,True
medical logistics,medical logistics ltd,True
medical logistics / samedaycoronavirustests.com,,False
medical testing,j2 medical testing uk ltd,True
medicines online,,False
medicines online ltd,,False
medicspot,medic spot limited,True
medinow,,False
mediscan diagnostic services,,False
medplus test,,False
medwyn occupational health,abbey meads occupational health services limited,True
mhf medical concierge,,False
midland covid testing,,False
midland covid testing limited,ais covid testing ltd,True
midland health,midland healthcare limited,True
midlands ultrasound and medical services,,False
mildcare ltd,,False
minton treharne & davies laboratories,,False
minton treharne & davies laboratories limited,,False
mk18 private medical practice,kings hill private medical practice limited,True
mlp,mlp wealth management ltd,True
mobihealth international,,False
moore medical practice,john moore dental practice limited,True
msh medical,msh medical spa holding ltd,True
msi clinics,,False
msi clinics limited,,False
my express testing,,False
my express testing uk,,False
my local travel clinic,,False
my london pharmacy,,False
my private chemist,,False
myhealthcare clinic,,False
myhealthchecked,,False
national covid testing (klinical enterprises ltd),,False
nationwide pathology,,False
nationwide pathology limited,,False
nechells pharmacy and masters pharmacy,,False
new street pharmacy,grove street pharmacy limited,True
new street pharmacy t/a the travel vaccine room,,False
newcastle premier health,,False
nhl pharmacy,,False
nivha laboratory services ltd,c4l laboratory services ltd,True
"nivha laboratory services ltd, randox",,False
nivha laboratory services ltd.,c4l laboratory services ltd,True
nl clinic,nl clinic camden ltd,True
nomad,,False
nomad travel,nomad travel (t/a adams travel) ltd,True
north and north west london covid tests,,False
north devon travel clinic,south devon travel clinic ltd,True
northend clinic,north end clinic limited,True
northway clinic,,False
nottinghamshire,nottinghamshire county council ,True
now test,,False
nph group,,False
nutraceuticals laboratory london limited,,False
nx healthcare,,False
objective health ltd,objective: health limited,True
occupational health bristol,abel occupational health resolutions ltd,True
occupational health prime,abbey meads occupational health services limited,True
olive health & travel clinic,olive health ltd,True
one scientic ltd,,False
one scientific ltd,one scientific limited,True
one scientific ltd.,one scientific limited,True
one5 health,,False
optimized body &  mind,,False
optimized body & mind,,False
optipharm pharmacy,,False
orchard clinic / orchard blood,,False
oscartech uk,oscartechno limited,True
outcome diagnostics,,False
outcome diagnostics (outcomedx),,False
outcome diagnostics t/a 123 tests,,False
oxford covid tests,,False
pall mall medical (manchester) limited,,False
pcr labs,,False
pcrtravel ltd london,,False
pct healthcare,pct healthcare limited,True
"pct healthcare t/a peak pharmacy, manor pharmacy, cox-robinson pharmacy",,False
pennfields pharmacy,,False
peplobio,,False
pexpo diagnostic,,False
pexpo diagnostics,,False
pharmacy led clinic,,False
pharmasuite,,False
pharmesthetics ltd,,False
pharmesthetics ltd (t/a http://www.samedayclinic.co.uk),,False
physiofunction,physiofunction (supplies) ltd,True
physiowork therapy uk ltd,,False
pillhub-feltham pharmacy,,False
polaris medical services ltd,,False
premier clinic ltd,premier clinical care ltd,True
private gp clinic,private gp clinic llp,True
private gp services uk ltd,private gp services (uk) limited,True
private gp teddington,,False
private harley street clinic,private harley street clinic ltd.,True
private-testing-providers london cloudapps digital refresh,,False
project olive lindfield limited,,False
project screen by prenetics,,False
protein technologies ltd / rapiditydx,,False
